iter	Passed	Remaining
868	105561	3295728
869	105693	3295951
870	105821	3296009
871	105948	3296077
872	106074	3296100
873	106249	3297612
874	106388	3298034
875	106523	3298350
876	106658	3298645
877	106791	3298849
878	106927	3299172
879	107072	3299776
880	107217	3300376
881	107360	3300924
882	107499	3301322
883	107635	3301634
884	107771	3301961
885	107904	3302168
886	108034	3302310
887	108164	3302421
888	108298	3302667
889	108439	3303145
890	108570	3303295
891	108702	3303497
892	108836	3303724
893	108972	3304039
894	109100	3304105
895	109227	3304144
896	109369	3304618
897	109509	3305025
898	109654	3305625
899	109786	3305791
900	109922	3306105
901	110052	3306215
902	110184	3306374
903	110312	3306452
904	110450	3306796
905	110586	3307085
906	110709	3307007
907	110839	3307115
908	110973	3307358
909	111118	3307926
910	111249	3308067
911	111382	3308268
912	111523	3308705
913	111658	3308942
914	111805	3309560
915	111941	3309861
916	112097	3310715
917	112256	3311677
918	112405	3312363
919	112550	3312901
920	112704	3313709
921	112847	3314205
922	112989	3314651
923	113131	3315108
924	113267	3315378
925	113425	3316286
926	113567	3316726
927	113695	3316767
928	113825	3316880
929	113967	3317300
930	114104	3317601
931	114235	3317721
932	114375	3318123
933	114507	3318262
934	114643	3318542
935	114779	3318799
936	114914	3319019
937	115045	3319162
938	115196	3319854
939	115332	3320102
940	115465	3320280
941	115602	3320566
942	115733	3320668
943	115866	3320842
944	115991	3320792
945	116125	3321004
946	116268	3321454
947	116418	3322106
948	116565	3322666
949	116717	3323369
950	116866	3323992
951	117010	3324486
952	117155	3324977
953	117300	3325492
954	117441	3325876
955	117573	3326009
956	117732	3326908
957	117877	3327395
958	118019	3327813
959	118162	3328231
960	118308	3328761
961	118440	3328905
962	118584	3329363
963	118715	3329457
964	118855	3329813
965	118997	3330201
966	119140	3330643
967	119279	3330965
968	119409	3331017
969	119546	3331288
970	119673	3331262
971	119816	3331693
972	119952	3331930
973	120088	3332158
974	120228	3332484
975	120359	3332573
976	120487	3332585
977	120616	3332613
978	120751	3332815
979	120884	3332948
980	121013	3332985
981	121155	3333388
982	121303	3333927
983	121448	3334414
984	121624	3335718
985	121779	3336465
986	121965	3338052
987	122239	3342049
988	122429	3343727
989	122597	3344817
990	122759	3345718
991	122912	3346402
992	123056	3346811
993	123201	3347254
994	123353	3347896
995	123518	3348894
996	123675	3349670
997	123813	3349921
998	123950	3350144
999	124088	3350388
1000	124217	3350405
1001	124354	3350634
1002	124489	3350795
1003	124620	3350843
1004	124750	3350886
1005	124892	3351227
1006	125034	3351591
1007	125170	3351775
1008	125315	3352215
1009	125459	3352622
1010	125589	3352664
1011	125726	3352868
1012	125855	3352877
1013	125988	3352976
1014	126115	3352944
1015	126259	3353336
1016	126406	3353824
1017	126547	3354141
1018	126682	3354301
1019	126818	3354465
1020	126958	3354775
1021	127119	3355599
1022	127286	3356596
1023	127451	3357552
1024	127718	3361177
1025	128058	3366702
1026	128201	3367066
1027	128334	3367163
1028	128481	3367600
1029	128667	3369095
1030	128802	3369234
1031	128950	3369705
1032	129090	3369979
1033	129246	3370667
1034	129399	3371254
1035	129562	3372132
1036	129714	3372707
1037	129890	3373902
1038	130035	3374296
1039	130173	3374501
1040	130320	3374932
1041	130463	3375268
1042	130603	3375541
1043	130748	3375916
1044	130891	3376257
1045	131028	3376422
1046	131167	3376655
1047	131341	3377789
1048	131508	3378724
1049	131667	3379459
1050	131808	3379728
1051	131970	3380546
1052	132129	3381297
1053	132286	3381958
1054	132583	3386232
1055	132773	3387726
1056	132936	3388571
1057	133086	3389049
1058	133262	3390204
1059	133431	3391166
1060	133581	3391658
1061	133774	3393243
1062	133957	3394566
1063	134111	3395126
1064	134258	3395553
1065	134422	3396364
1066	134558	3396495
1067	134712	3397068
1068	134851	3397261
1069	135003	3397806
1070	135143	3398021
1071	135297	3398591
1072	135436	3398799
1073	135576	3399008
1074	135709	3399042
1075	135846	3399195
1076	135982	3399298
1077	136131	3399755
1078	136334	3401545
1079	136495	3402268
1080	136667	3403295
1081	136845	3404434
1082	136998	3404986
1083	137262	3408261
1084	137411	3408697
1085	137580	3409606
1086	137784	3411410
1087	137943	3412084
1088	138103	3412760
1089	138251	3413175
1090	138428	3414282
1091	138597	3415174
1092	138760	3415956
1093	138932	3416924
1094	139095	3417691
1095	139244	3418102
1096	139417	3419098
1097	139568	3419552
1098	139716	3419934
1099	139864	3420322
1100	140018	3420851
1101	140157	3421009
1102	140295	3421152
1103	140434	3421303
1104	140565	3421263
1105	140720	3421834
1106	140858	3421958
1107	140996	3422100
1108	141140	3422371
1109	141279	3422518
1110	141455	3423581
1111	141623	3424434
1112	141799	3425484
1113	142104	3429642
1114	142305	3431276
1115	142621	3435687
1116	142790	3436557
1117	142940	3436974
1118	143132	3438365
1119	143323	3439762
1120	143474	3440181
1121	143652	3441261
1122	143800	3441609
1123	143966	3442384
1124	144138	3443317
1125	144315	3444341
1126	144625	3448564
1127	144797	3449467
1128	144993	3450937
1129	145174	3452069
1130	145345	3452953
1131	145497	3453375
1132	145645	3453710
1133	145797	3454146
1134	145969	3455040
1135	146151	3456181
1136	146308	3456706
1137	146464	3457230
1138	146620	3457749
1139	146803	3458889
1140	146952	3459246
1141	147109	3459768
1142	147295	3460993
1143	147484	3462283
1144	147642	3462827
1145	147807	3463533
1146	147970	3464204
1147	148152	3465331
1148	148325	3466209
1149	148480	3466691
1150	148644	3467373
1151	148804	3467971
1152	148959	3468450
1153	149121	3469087
1154	149268	3469360
1155	149417	3469692
1156	149567	3470035
1157	149702	3470044
1158	149851	3470364
1159	149983	3470316
1160	150130	3470582
1161	150281	3470969
1162	150446	3471649
1163	150595	3471987
1164	150774	3472990
1165	150963	3474224
1166	151106	3474411
1167	151257	3474772
1168	151437	3475812
1169	151648	3477546
1170	151898	3480172
1171	152054	3480645
1172	152225	3481449
1173	152410	3482591
1174	152575	3483258
1175	152770	3484621
1176	152982	3486358
1177	153152	3487145
1178	153343	3488391
1179	153530	3489562
1180	153708	3490516
1181	153872	3491152
1182	154051	3492126
1183	154214	3492750
1184	154391	3493672
1185	154586	3495018
1186	154742	3495459
1187	154902	3495992
1188	155090	3497165
1189	155239	3497461
1190	155377	3497493
1191	155535	3497987
1192	155670	3497955
1193	155820	3498252
1194	155998	3499203
1195	156188	3500390
1196	156360	3501205
1197	156549	3502376
1198	156730	3503370
1199	156944	3505084
1200	157204	3507854
1201	157477	3510888
1202	157930	3517932
1203	158139	3519525
1204	158332	3520755
1205	158524	3521968
1206	158710	3523066
1207	158910	3524453
1208	159078	3525116
1209	159304	3527087
1210	159468	3527666
1211	159649	3528623
1212	159824	3529447
1213	159994	3530152
1214	160157	3530708
1215	160305	3530934
1216	160486	3531887
1217	160679	3533100
1218	160844	3533692
1219	161047	3535132
1220	161203	3535519
1221	161362	3535970
1222	161559	3537264
1223	161753	3538486
1224	161911	3538915
1225	162067	3539300
1226	162242	3540111
1227	162412	3540798
1228	162580	3541452
1229	162732	3541755
1230	162894	3542256
1231	163051	3542667
1232	163204	3542985
1233	163375	3543684
1234	163544	3544339
1235	163719	3545132
1236	163869	3545391
1237	164019	3545634
1238	164181	3546133
1239	164343	3546633
1240	164498	3546988
1241	164636	3546974
1242	164772	3546916
1243	164912	3546938
1244	165045	3546819
1245	165196	3547076
1246	165352	3547446
1247	165510	3547874
1248	165652	3547937
1249	165803	3548203
1250	165957	3548508
1251	166102	3548652
1252	166272	3549319
1253	166435	3549817
1254	166611	3550614
1255	166793	3551535
1256	166947	3551847
1257	167101	3552169
1258	167267	3552745
1259	167449	3553656
1260	167618	3554285
1261	167781	3554795
1262	167936	3555120
1263	168100	3555641
1264	168252	3555905
1265	168412	3556349
1266	168575	3556851
1267	168730	3557173
1268	168887	3557558
1269	169034	3557707
1270	169184	3557929
1271	169343	3558341
1272	169484	3558372
1273	169622	3558348
1274	169771	3558543
1275	169910	3558537
1276	170051	3558554
1277	170197	3558696
1278	170343	3558825
1279	170503	3559256
1280	170646	3559335
1281	170792	3559454
1282	170938	3559602
1283	171081	3559669
